Serial No.,Date,Type,No Samples,Surrogate Nodes,CQR Nodes,CQR Alpha,Initial Condition,Optimizer Success,Closed Loop Cost,Concentration Cb,Boundary Violation Probability,Iterations,MPC Horizon,MPC Input Cost,ICBMPC Tightner,ICBMPC Random Sampling,ICBMPC Confidence Cutoff,MPC Setpoint,ICBMPC Max Search,Time,LQR r,LQR q,MPC Robust Horizon
119,2025-07-30 17:05:06,cs4,,,,,True,0.0,[[562.21119946]],0.5262956888796585,0.0093290788071853,50,15,0.1,,,,,,1.835947036743164,,,
120,2025-07-30 17:05:23,cs5,250.0,5.0,20.0,0.05,True,0.0,[[142.08098438]],0.2614079288909016,0.0254669506691839,50,15,0.1,1.0,1.0,0.8,,5.0,15.22619128227234,,,
121,2025-07-30 17:05:58,cs1,250.0,5.0,20.0,0.05,True,0.0,[[7.08243264]],0.2574981097438129,0.0256878563283004,50,20,0.01,1.0,1.0,0.8,,5.0,35.02176904678345,50.0,1.0,
122,2025-07-30 17:06:00,cs2,250.0,20.0,,,True,0.0,[[300.50182121]],0.2661726070493926,0.0251862028913343,50,20,0.01,,,,,,10.376092910766602,,,
123,2025-07-30 17:06:11,cs3,250.0,5.0,20.0,0.05,True,0.0,[[7.02914803]],0.2480576375051918,0.0261833556288417,50,20,0.01,,,,,,144.89471316337583,,,3.0
124,2025-07-30 17:08:36,cs4,,,,,True,0.0,[[55.74357788]],0.5262956803344829,0.0093290793588508,50,20,0.01,,,,,,2.662461996078491,,,
125,2025-07-30 17:09:00,cs5,250.0,5.0,20.0,0.05,True,0.0,[[14.19363371]],0.2521414493018286,0.0259650132062589,50,20,0.01,1.0,1.0,0.8,,5.0,20.810176134109497,,,
126,2025-07-30 17:09:38,cs1,250.0,5.0,20.0,0.05,True,0.0,[[71.44118451]],0.2521721378009187,0.0259727881799507,50,20,0.05,1.0,1.0,0.8,,5.0,37.98130393028259,50.0,1.0,
127,2025-07-30 17:09:39,cs2,250.0,20.0,,,True,0.0,[[72.02641193]],0.2260895168880017,0.0273498357501562,50,20,0.05,,,,,,2.2269229888916016,,,
128,2025-07-30 17:09:43,cs3,250.0,5.0,20.0,0.05,True,0.0,[[62.88034487]],0.2514994325901039,0.0259993358662723,50,20,0.05,,,,,,136.1207492351532,,,3.0
129,2025-07-30 17:11:59,cs4,,,,,True,0.0,[[280.82287907]],0.5262956804051053,0.0093290793539696,50,20,0.05,,,,,,2.133492946624756,,,
130,2025-07-30 17:12:21,cs5,250.0,5.0,20.0,0.05,True,0.0,[[71.97673533]],0.252141449394697,0.0259650132003105,50,20,0.05,1.0,1.0,0.8,,5.0,20.280379056930546,,,
131,2025-07-30 17:12:57,cs1,250.0,5.0,20.0,0.05,True,0.0,[[143.13517345]],0.252157624029398,0.0259719194162014,50,20,0.1,1.0,1.0,0.8,,5.0,35.368338108062744,50.0,1.0,
132,2025-07-30 17:12:58,cs2,250.0,20.0,,,True,0.0,[[144.27891337]],0.2260895168872487,0.0273498357496581,50,20,0.1,,,,,,2.079633951187134,,,
133,2025-07-30 17:13:02,cs3,250.0,5.0,20.0,0.05,True,0.0,[[142.85877235]],0.2430759403976209,0.0264495752860729,50,20,0.1,,,,,,138.74060106277466,,,3.0
134,2025-07-30 17:15:21,cs4,,,,,True,0.0,[[562.17129707]],0.5262956805531589,0.0093290793439859,50,20,0.1,,,,,,2.1012213230133057,,,
